zip;street;number_from;;number_to;;number_variety;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
14469;GA An der Katharinenholzstr;;;;;all;;1303;;;
14469;Grabenstr;;;;;all;;1303;;;
14469;Haeberlinweg;;;;;all;;1303;;;
14469;Katharinenholzstr;;;;;all;;1303;;;
14469;Lendelallee;;;;;all;;1303;;;
14469;Potsdamer Str;165;;201;;all;;1303;;;
14469;Ribbeckstr;;;;;all;;1303;;;
14469;Siegward-Sprotte-Str;;;;;all;;1303;;;
14469;Amtsstr;;;;;all;;1304;;;
14469;Amundsenstr;2;;26;;even;;1304;;;
14469;Apfelweg;;;;;all;;1304;;;
14469;Birnenweg;;;;;all;;1304;;;
14469;Bussardweg;;;;;all;;1304;;;
14469;Fritz-Encke-Str;2;;6;;even;;1304;;;
14469;GA Bornstedter Feld;;;;;all;;1304;;;
14469;GA Habichtweg;;;;;all;;1304;;;
14469;Habichtweg;1;;12;;all;;1304;;;
14469;Hermann-Mächtig-Str;4;;6;;even;;1304;;;
14469;Herta-Hammerbacher-Str;2;;6;;all;;1304;;;
14469;Kirschallee;33;;139;;all;;1304;;;
14469;Melchior-Bauer-Str;2;;5;;all;;1304;;;
14469;Nietnerstr;1;;7;;all;;1304;;;
14469;Orville-Wright-Str;1;;137;;odd;;1304;;;
14469;Potsdamer Str;12;;34;;all;;1304;;;
14469;Thaerstr;;;;;all;;1304;;;
14469;Zum Kurzen Feld;;;;;all;;1304;;;
14469;Zum Lausebusch;;;;;all;;1304;;;
14469;Zum Reiherstand;;;;;all;;1304;;;
14469;August-Bonness-Str;9;;17;;odd;;1305;;;
14469;Carl-Christian-Horvath-Str;4;;14;;even;;1305;;;
14469;Erich-Mendelsohn-Allee;4;;12;;even;;1305;;;
14469;Georg-Hermann-Allee;21;;31;;odd;;1305;;;
14469;Hannes-Meyer-Str;;;;;all;;1305;;;
14469;Kiepenheuerallee;11;;27;;odd;;1305;;;
14469;Mies-van-der-Rohe-Str;;;;;all;;1305;;;
14469;Peter-Behrens-Str;;;;;all;;1305;;;
14469;Stechlinweg;;;;;all;;1305;;;
14469;Erich-Mendelsohn-Allee;31;;91;;odd;;1306;;;
14469;Fintelmannstr;1;;17;;odd;;1306;;;
14469;Fintelmannstr;2;;14;;even;;1306;;;
14469;Fritz-Encke-Str;7;;;;all;;1306;;;
14469;Fritz-Encke-Str;8;;22;;even;;1306;;;
14469;Gustav-Meyer-Str;2;;;;all;;1306;;;
14469;Heinrich-Zeininger-Str;;;;;all;;1306;;;
14469;Hermann-Göritz-Str;;;;;all;;1306;;;
