vote_district_id;name;address_street;address_nr;address_nr_note;note;zip;full_address;district;barrier_free
6402; Waldorfschule  Potsdam  e.  V. ;Erich-Weinert-Str.;5;;;14478;Potsdam;;barrierefrei
6403; Waldstadt-Grundschule  (27) ;Friedrich-Wolf-Str.;12;;;14478;Potsdam;; nicht  barrierefrei 
6404; Waldstadt-Grundschule  (27) ;Friedrich-Wolf-Str.;12;;;14478;Potsdam;; nicht  barrierefrei 
6501; Oberstufenzentrum  II  Wirtschaft  und  Verwaltung ; Zum  Jagenstein ;26;;;14478;Potsdam;;barrierefrei
6502; Oberstufenzentrum  II  Wirtschaft  und  Verwaltung ; Zum  Jagenstein ;26;;;14478;Potsdam;;barrierefrei
6503; Oberstufenzentrum  II  Wirtschaft  und  Verwaltung ; Zum  Jagenstein ;26;;;14478;Potsdam;;barrierefrei
6504; Oberstufenzentrum  II  Wirtschaft  und  Verwaltung ; Zum  Jagenstein ;26;;;14478;Potsdam;;barrierefrei
6505; Oberschule  Theodor  Fontane  (51) ; Zum  Teufelssee ;2-4;;;14478;Potsdam;; nicht  barrierefrei 
6506; Oberschule  Theodor  Fontane  (51) ; Zum  Teufelssee ;2-4;;;14478;Potsdam;; nicht  barrierefrei 
6507; Haus  der  Begegnung  Potsdam ; Zum  Teufelssee ;30;;;14478;Potsdam;;barrierefrei
7101; Pierre  de  Coubertin-Oberschule  (39) ;Gagarinstr.;5-7;;;14480;Potsdam;; nicht  barrierefrei 
7102; Pierre  de  Coubertin-Oberschule  (39) ;Gagarinstr.;5-7;;;14480;Potsdam;; nicht  barrierefrei 
7103; Club  18 ;Pietschkerstr.;50;;;14480;Potsdam;;barrierefrei
7104; Neue  Grundschule  Potsdam ;Flotowstr.;10;;;14480;Potsdam;; nicht  barrierefrei 
7105; Deutsches  Rotes  Kreuz  -  Behindertenwerkstätten  Potsdam ; Kohlhasenbrücker  Str. ;106;;;14480;Potsdam;;barrierefrei
