street,number_odd_from,number_odd_to,number_even_from,number_even_to,district_nr,district_name,zip,vote_district_id,local_election_district_id,landtag_election_district_id,bundestag_election_district_id
Alberichshof,1,5,2,6,710,Wahnheide,51147,71007,10,17,93
Albermannstr.,1,21,2,48,802,Kalk,51103,80202,42,18,93
Albermannstr.,39,45,50,60,802,Kalk,51103,80203,42,18,93
Albert-Kindle-Str.,1,25,2,36,307,Weiden,50859,30707,21,14,94
Albert-Schweitzer-Str.,1,5,2,8,204,Raderthal,50968,20403,12,13,94
Albert-Schweitzer-Str. (Wahn),,,8,8,711,Wahn,51147,71103,10,17,93
Albert-Tobias-Weg,1,13,2,16,714,Zündorf,51143,71403,11,17,93
Albertus-Magnus-Platz,,,0,,303,Lindenthal,50931,30304,18,14,94
Albertusstr.,1,55,4,52,103,Altstadt/Nord,50667,10303,04,18,93
Albertusweg,1,19,4,20,209,Weiß,50999,20905,14,13,94
Albin-Hänseroth-Weg,1,83,2,96,309,Widdersdorf,50859,30901,21,14,94
Albin-Köbis-Str.,1,17,2,18,711,Wahn,51147,71102,10,17,93
Albrecht-Dürer-Platz,15,15,,,104,Neustadt/Nord,50672,10405,04,18,93
Albrecht-Dürer-Str.,3,9,4,10,208,Rodenkirchen,50999,20813,14,13,94
Albusweg,1,23,,,907,Dünnwald,51069,90706,38,19,101
Alemannenstr.,1,23,2,26,105,Deutz,50679,10508,06,18,93
Alemannenstr. (Gremberghoven),7,9,10,12,704,Gremberghoven,51149,70401,08,17,93
Alemannenstr. (Rodenkirchen),1,7,2,10,208,Rodenkirchen,50996,20803,12,13,94
Alexander-Petöfi-Platz,,,2,16,506,Longerich,50739,50613,30,16,95
Alexander-von-Wacker-Platz,1,5,2,14,601,Merkenich,50769,60105,29,16,95
Alexe-Altenkirch-Str.,3,21,2,10,507,Bilderstöckchen,50739,50701,31,15,95
Alexianerstr.,1,5,,,101,Altstadt/Süd,50676,10118,01,13,94
Alexianerstr.,,,2,20,101,Altstadt/Süd,50676,10119,01,13,94
Alexianerstr.,23,43,,,101,Altstadt/Süd,50676,10116,03,13,94
Alexianerstr.,,,30,48,101,Altstadt/Süd,50676,10117,03,13,94
Alfons-Kafka-Str.,3,13,2,30,714,Zündorf,51143,71401,11,17,93
Alfons-Nowak-Str.,1,5,,,306,Junkersdorf,50858,30605,20,14,94
Alfred-Delp-Str.,1,23,2,14,703,Ensen,51149,70302,07,17,93
Alfred-Döblin-Str.,1,11,,,405,Bocklemünd/Mengenich,50829,40507,25,15,95
Alfred-Moritz-Platz,,,,,706,Porz,51143,70605,11,17,93
Alfred-Nobel-Str.,1,49,2,34,706,Porz,51145,70602,08,17,93
Alfred-Nobel-Str.,53,57,,,706,Porz,51145,70603,08,17,93
Alfred-Schütte-Allee,1,1,2,24,105,Deutz,50679,10512,06,18,93
Alfred-Schütte-Allee,,,28,180,701,Poll,51105,70106,07,17,93
Alfred-Schütte-Allee,51,165,,,701,Poll,51105,70105,07,17,93
Alfred-Werner-Str.,1,23,2,4,909,Flittard,51061,90904,37,19,101
Alfterstr.,1,23,2,22,205,Zollstock,50969,20516,13,13,94
Allensteiner Str.,5,5,8,8,504,Niehl,50735,50411,34,16,95
Allensteiner Str. (Rondorf),9,13,2,12,206,Rondorf,50997,20602,15,13,94
Allerheiligenstr.,1,27,2,18,103,Altstadt/Nord,50668,10307,04,18,93
Allerseelenstr.,1,23,2,42a,701,Poll,51105,70101,07,17,93
Allerstr.,1,1,2,24,609,Chorweiler,50765,60905,27,16,95
