Wahlbezirk;Wahlgebäude;Straße;Nr;NrZusatz;PLZ;Ort;Behindertengerecht
40112, 40113, 40114, 40115, 40116;KGS Everhardstr.;Everhardstr.;60;;50823;Köln;j
40117, 40118;Geschwister-Scholl-Schule;Gravenreuthstr.;10;;50823;Köln;n
40119, 40120, 40123;Wilhelm-Leyendecker Förderschule;Leyendeckerstr.;20;;50825;Köln;n
40121, 40124;Astrid-Lindgren-Schule;Borsigstr.;13;;50825;Köln;n
40122;Michael-Ende-Schule;Platenstr.;7;;50825;Köln;n
40204, 40205, 40206, 40207, 40208, 40209;Albertus-Magnus-Gymnasium;Ottostr.;87;;50823;Köln;j
40210, 40211;GGS Nußbaumerstr.;Nußbaumerstr.;254;;50825;Köln;j
"40214,40215, 40216,40217,40212,40213";Eichendorff-Realschule;Dechenstr.;1;;50825;Köln;j
40218, 40219, 40220;KGS Baadenberger Str.;Baadenberger Str.;111;;50825;Köln;j
40303, 40304, 40305 ;GGS Erlenweg;"Erlenweg";16;;50827;Köln;j
40306, 40307;KGS Erlenweg;"Erlenweg";16;;50827;Köln;j
40308, 40309, 40310, 40311;Schule Lindweiler Hof;Rochusstr.;80;;50827;Köln;j
40401, 40402, 40403, 40404;Kardinal-Frings-Schule;Vogelsanger Str.;453;;50829;Köln;j
40405, 40406;Förderschule Kolkrabenweg;Kolkrabenweg;8-10;;50829;Köln;j
40501, 40502, 40503;"Kath. Grundschule";Mengenicher Str.;28;;50829;Köln;n
40601;Montessorischule;Am Pistorhof;11;;50827;Köln;j
40602, 40603, 40604, 40605;KOGS;Wilhelm-Schreiber-Str.;56;;50827;Köln;j
50101, 50102, 50103, 50104, 50105;Förderschule;Auguststr.;1;;50733;Köln;n
50106, 50107, 50108, 50109, 50110, 50111;GGS Steinbergerstr.;Steinbergerstr.;40;;50733;Köln;n
50112, 50113, 50114;Peter-Ustinov-Realschule;Neusser Str.;421;;50733;Köln;j
50115,50116, 50117, 50118;Leonardo-da-Vinci-Gymnasium;Blücherstr.;15;;50733;Köln;n
50125, 50126;IOGS Kretzerstr.;Kretzerstr.;5;;50733;Köln;n
50201, 50202, 50203, 50204;"GGS Nibelungenstr.";Nibelungenstr.;50;a;50739;Köln;j
50301, 50302, 50303, 50304, 50305, 50308, 50311;GGS Garthestr.;Garthestr.;20;;50735;Köln;n
50306, 50307;Förderschule Sprache Brehmstraße;Brehmstr.;2;;50735;Köln;j
50403;GGS Halfengasse;Halfengasse;25;;50735;Köln;j
50406, 50407, 50408;Erich-Kästner-Gymnasium;Castroper Str.;7;;50735;Köln;j
50409, 50410, 50411, 50412, 50413, 50414;"GGS Nesselrodestr.";Nesselrodestr.;15;;50735;Köln;j
50501;Peter-Ustinov-Realschule;Neusser Str.;421;;50733;Köln;j
50502, 50503, 50504, 50505, 50506, 50507, 50508, 50509;GGS Florianschule;Neusser Str.;605;;50737;Köln;n
50601, 50602, 50603, 50604, 50605, 50606;KGS Marienschule;Altonaer Str.;32;;50737;Köln;j
50607, 50608, 50609 50610;Gesamtschule Nippes;Paul-Humburg-Str.;13;;50737;Köln;j
50611, 50612, 50613, 50614;"Kath. Grundschule";Longericher Hauptstr.;83;;50739;Köln;n
50701, 50702, 50703, 50704;GGS Alzeyer Str.;Alzeyer Str.;12;;50739;Köln;j
50705, 50706, 50707, 50708;Joseph-DuMont-Berufskolleg;Escher Str.;217;;50739;Köln;j
50709;"Kath. Grundschule";Osterather Str.;13;;50739;Köln;j
60101, 60102;GGS Amandusstr.;Amandusstr.;22;;50769;Köln;n
60103, 60104, 60105;GGS Spoerkelhof;Spoerkelhof;7;;50769;Köln;n
60301, 60302;Sankt-Martin-Schule;Balsaminenweg;52;;50769;Köln;j
60303, 60304, 60305;GGS Riphahnstr.;Riphahnstr.;40;a;50769;Köln;j
60306;Henry-Ford-Realschule;Karl-Marx-Allee;43;;50769;Köln;j
60401, 60402;Ursula-Kuhr-Schule;Volkhovener Weg;140;;50767;Köln;j
60403, 60404, 60405;GGS Lebensbaumweg;Lebensbaumweg;51;;50767;Köln;j
60502;"GGS Soldiner Str.";Soldiner Str.;68;;50767;Köln;j
60601, 60602, 60603;Erich-Ohser-Grundschule;Schulstr.;16;;50767;Köln;j
60604, 60605, 60606, 60607, 60608;"Schulzentrum Pesch";Schulstr.;18;;50767;Köln;j
60703, 60704, 60705, 60706, 60707;Konrad-Adenauer-Schule;Martinusstr.;28;;50765;Köln;j
60801, 60802, 60803;Heinrich-Mann-Gymnasium;Fühlinger Weg;4;;50765;Köln;j
60904, 60905;GGS Merianstr.;Merianstr.;7;;50765;Köln;j
61001, 61002, 61003, 61004;GGS Ernstbergstr.;Ernstbergstr.;2;;50765;Köln;j
61101, 61102;KGS Gutnickstr.;Gutnickstr.;37;;50769;Köln;j
61202,61203, 61204, 61205;GGS An den Kaulen;An den Kaulen;62;;50769;Köln;j
70101, 70102, 70103, 70104;Janusz-Korczak-Schule;Am Altenberger Kreuz;14;;51105;Köln;n
70105, 70106, 70107, 70108, 70109, 70110, 70111;GGS Poller Hauptstr.;Poller Hauptstr.;61;;51105;Köln;j
70201, 70204;Förderschule Lernen ehem. Finkenbergschule;Berlinerstr.;36;;51149;Köln;j
70205, 70301, 70302, 70303, 70304, 70305;GGS Hohe Str.;Hohe Str.;77-79;;51149;Köln;j
70401, 70402;"GGS Breitenbachstr.";Breitenbachstr.;2;;51149;Köln;n
70502;GGS Konrad-Adenauer-Str.;Konrad-Adenauer-Str.;20;;51149;Köln;n
70503, 70504, 70505, 70506;GGS Schulstr.;Schulstr.;23;;51145;Köln;n
70507, 70508;Kopernikusschule;Bonner Str.;40;;51145;Köln;j
70701, 70702, 70703;Stadtgymnasium;Humboldtstr.;2;;51145;Köln;j
70704, 70705, 70706, 70707, 70708, 70709;KGS Kupfergasse;Kupfergasse;31;;51145;Köln;j
70901, 70902, 70903;Eduard-Mörike-Schule;Mörikeweg;2;;51147;Köln;j
71001, 71002, 71003;Pestalozzi-Schule;Sportplatzstr.;82;;51147;Köln;j
71004, 71005;GGS Heideschule;Neue Heide;25;;51147;Köln;j
71101, 71102, 71103, 71104, 71105, 71106;"GGS Adolph-Kolping-Str.";Adolph-Kolping-Str.;41;;51147;Köln;j
71401, 71402, 71403, 71404, 71405, 71406, 71407, 71408;GGS Schmittgasse;Schmittgasse;66;;51143;Köln;n
71409, 71410, 71411, 71412;GGS Irisweg;Irisweg;2;;51143;Köln;j
71501, 71502, 71503, 71504;KGS Hinter der Kirche;Hinter der Kirche;3;;51143;Köln;j
70501,71603;Lise-Meitner-Gesamtschule;Stresemannstr.;36;;51149;Köln;j
80102;GHS Hachenburger Straße;Hachenburger Str.;11;;51105;Köln;j
80103, 80104;GGS Westerwaldstr.;Westerwaldstr.;90;;51105;Köln;j
80106, 80107;GGS Lohmarer Straße;Lohmarer Str.;11;;51105;Köln;j
80201, 80202, 80203;Adolph-Kolping-Schule;Falckensteinstr.;34;;51103;Köln;j
80204;Kaiserin-Theophanu-Schule;Kantstr.;3;;51103;Köln;j
80205, 80206, 80207;KGS Kapitelstr. ;Kapitelstr.;24;;51103;Köln;j
80301, 80302, 80303;GGS Heßhofstr.;Heßhofstr.;45;;51107;Köln;j
80304;"GGS Lustheider Str.";Lustheider Str.;43;;51103;Köln;j
80401, 80402, 80305;GHS Nürnberger Straße;Nürnberger Str.;10;;51103;Köln;j
80403, 80404, 80405;GGS Weimarer Str.;Weimarer Str.;28;;51103;Köln;j
80406;Katharina-Henoth-Gesamtschule;Adalbertstr.;17;;51103;Köln;j
80501, 80502, 80503, 80504, 80505, 80506, 80507;GGS Zehnthofstr.;Zehnthofstr.;22;;51107;Köln;j
80601, 80602, 80603, 80604, 80605, 80606, 80607;KGS Fußfallstr.;Fußfallstr.;55;;51109;Köln;j
80701, 80702, 80703, 80706;GGS Diesterwegstr.;Diesterwegstr.;69;;51109;Köln;j
80705, 80707, 80708, 80709, 80710;KGS Olpener Str.;Olpener Str.;930;;51109;Köln;j
80801, 80802, 80803, 80804, 80805, 80808, 80809;KGS Volberger Weg;Volberger Weg;17;;51107;Köln;j
80810, 80811, 80812, 80806, 80807;KGS Forststraße;Erikaweg;1;;51107;Köln;j
80901, 80902, 80903;GGS Europaring;Europaring;51;;51109;Köln;j
80904, 80905, 80906, 80907;KGS Andreas-Hermes-Straße ;Andreas-Hermes-Str.;2;;51109;Köln;j
