Straße	HnrVon	AlphateilVon	ZusatzVon	HnrBis	AlphateilBis	ZusatzBis	alle/ger/ung	Wahlbezirk - Nr	Wahlbezirk - Name	WahlraumZeile1	WahlraumZeile2	WahlraumZeile3	Wahlraum barrierefrei
Am alten Dorf	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Am Heineberg	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Am Phloxgarten	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Am Raubfang	19			25			U	1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Amselwinkel	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Amundsenstr	1			1	F		U	1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Amundsenstr	5			13			U	1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
An der Vogelwiese	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Breiter Weg	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Florastr	38			50			G	1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Florastr	53			75			U	1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
GA Am Paretzer Kanal	21						alle	1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
GA Kanalbrücke	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
GA Zum Dreieck	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Gillis-Grafström-Str	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Grüner Weg	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Gutsstr	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Heckenstr	1			9	A		alle	1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Hermann-Struve-Str	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Hügelweg	1			73			U	1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Lerchensteig	29			55			U	1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Lerchensteig	44						alle	1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Marquardter Str	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Max-Eyth-Allee	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Peter-Altmann-Str	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Ritterspornweg	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Rückertstr	7			34			alle	1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Schneiderweg	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Schräger Weg	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Verlängerte Amtsstr	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Werner-Nerlich-Bogen	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Am Großen Herzberg	alle							1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Am Raubfang	1			12			alle	1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Am Raubfang	16						alle	1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Am Windmühlenberg	alle							1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Amundsenstr	13	A		27	A		U	1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Fasanenring	alle							1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Florastr	2			32			G	1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Florastr	5			49			U	1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Gersthofweg	alle							1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Golmer Chaussee	alle							1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Gröbenstr	alle							1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Haselnussring	alle							1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Heckenstr	10			20			alle	1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Herzbergstr	alle							1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Hügelweg	2			74			G	1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Hugstr	alle							1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Lindstedter Chaussee	alle							1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Mitschurinstr	alle							1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Pannenbergstr	alle							1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Pomonaring	alle							1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Potsdamer Str	35			108			alle	1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Rückertstr	1			5	C		U	1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Rückertstr	2			6			G	1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Rückertstr	35			39	B		U	1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Rückertstr	36			40	A		G	1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Staudenweg	alle							1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Walnussring	alle							1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Windmühlenweg	alle							1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Zum Weizenring	alle							1102	Bornim - Ortslage/Hügelweg	Grundschule Bornim (11)	Potsdamer Str. 90 (Bürgerhaus)	nicht barrierefrei	nein
Am Golfplatz	alle							1301	Nedlitz, Bornstedt - Viereckremise	Kindertagesstätte Firlefanz	Nedlitzer Holz 12a		ja
Am Vogelherd	alle							1301	Nedlitz, Bornstedt - Viereckremise	Kindertagesstätte Firlefanz	Nedlitzer Holz 12a		ja
Am Weißen See	alle							1301	Nedlitz, Bornstedt - Viereckremise	Kindertagesstätte Firlefanz	Nedlitzer Holz 12a		ja
Bienenwinkel	alle							1301	Nedlitz, Bornstedt - Viereckremise	Kindertagesstätte Firlefanz	Nedlitzer Holz 12a		ja
Eichelkamp	alle							1301	Nedlitz, Bornstedt - Viereckremise	Kindertagesstätte Firlefanz	Nedlitzer Holz 12a		ja
Fahrländer Damm	alle							1301	Nedlitz, Bornstedt - Viereckremise	Kindertagesstätte Firlefanz	Nedlitzer Holz 12a		ja
Fintelmannstr	16			32			G	1301	Nedlitz, Bornstedt - Viereckremise	Kindertagesstätte Firlefanz	Nedlitzer Holz 12a		ja
Fintelmannstr	19			33			U	1301	Nedlitz, Bornstedt - Viereckremise	Kindertagesstätte Firlefanz	Nedlitzer Holz 12a		ja
Friedrich-Kunert-Weg	alle							1301	Nedlitz, Bornstedt - Viereckremise	Kindertagesstätte Firlefanz	Nedlitzer Holz 12a		ja
Fritz-Encke-Str	9						alle	1301	Nedlitz, Bornstedt - Viereckremise	Kindertagesstätte Firlefanz	Nedlitzer Holz 12a		ja
GA Am Weißen See	alle							1301	Nedlitz, Bornstedt - Viereckremise	Kindertagesstätte Firlefanz	Nedlitzer Holz 12a		ja
Georg-Hermann-Allee	143			145			U	1301	Nedlitz, Bornstedt - Viereckremise	Kindertagesstätte Firlefanz	Nedlitzer Holz 12a		ja
Grenzallee	4			4	A		alle	1301	Nedlitz, Bornstedt - Viereckremise	Kindertagesstätte Firlefanz	Nedlitzer Holz 12a		ja
Lerchensteig	2			40	B		G	1301	Nedlitz, Bornstedt - Viereckremise	Kindertagesstätte Firlefanz	Nedlitzer Holz 12a		ja
Lerchensteig	3			25	A		U	1301	Nedlitz, Bornstedt - Viereckremise	Kindertagesstätte Firlefanz	Nedlitzer Holz 12a		ja
Luzernstr	2			12			G	1301	Nedlitz, Bornstedt - Viereckremise	Kindertagesstätte Firlefanz	Nedlitzer Holz 12a		ja
Nedlitzer Holz	alle							1301	Nedlitz, Bornstedt - Viereckremise	Kindertagesstätte Firlefanz	Nedlitzer Holz 12a		ja
Nedlitzer Str	65			85			U	1301	Nedlitz, Bornstedt - Viereckremise	Kindertagesstätte Firlefanz	Nedlitzer Holz 12a		ja
Nietnerstr	8			24			G	1301	Nedlitz, Bornstedt - Viereckremise	Kindertagesstätte Firlefanz	Nedlitzer Holz 12a		ja
Opolestr	alle							1301	Nedlitz, Bornstedt - Viereckremise	Kindertagesstätte Firlefanz	Nedlitzer Holz 12a		ja
Orville-Wright-Str	100			116			G	1301	Nedlitz, Bornstedt - Viereckremise	Kindertagesstätte Firlefanz	Nedlitzer Holz 12a		ja
Strandweg	alle							1301	Nedlitz, Bornstedt - Viereckremise	Kindertagesstätte Firlefanz	Nedlitzer Holz 12a		ja
Theodor-Echtermeyer-Str	21			38			alle	1301	Nedlitz, Bornstedt - Viereckremise	Kindertagesstätte Firlefanz	Nedlitzer Holz 12a		ja
Viereckremise	alle							1301	Nedlitz, Bornstedt - Viereckremise	Kindertagesstätte Firlefanz	Nedlitzer Holz 12a		ja
David-Gilly-Str	1			5			U	1302	Bornstedt - Fliederweg	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Dennis-Gabor-Str	alle							1302	Bornstedt - Fliederweg	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Fliederweg	alle							1302	Bornstedt - Fliederweg	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Habichtweg	14						alle	1302	Bornstedt - Fliederweg	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Habichtweg	21			45			U	1302	Bornstedt - Fliederweg	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Heisenbergstr	alle							1302	Bornstedt - Fliederweg	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Kirschallee	1			32			alle	1302	Bornstedt - Fliederweg	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Kirschallee	173			177			alle	1302	Bornstedt - Fliederweg	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Ludwig-Boltzmann-Str	2			4			G	1302	Bornstedt - Fliederweg	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Neue Kirschallee	alle							1302	Bornstedt - Fliederweg	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Potsdamer Str	1			11			alle	1302	Bornstedt - Fliederweg	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Schulplatz	2	A		6	B		alle	1302	Bornstedt - Fliederweg	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Am Drachenberg	alle							1303	Bornstedt - Am Krongut/Katharinenholzstr	Hort Schulplatz 1	Schulplatz 1		ja
Am Krongut	alle							1303	Bornstedt - Am Krongut/Katharinenholzstr	Hort Schulplatz 1	Schulplatz 1		ja
Amundsenstr	28			46			G	1303	Bornstedt - Am Krongut/Katharinenholzstr	Hort Schulplatz 1	Schulplatz 1		ja
Amundsenstr	33			33	A		U	1303	Bornstedt - Am Krongut/Katharinenholzstr	Hort Schulplatz 1	Schulplatz 1		ja
Blumenstr	alle							1303	Bornstedt - Am Krongut/Katharinenholzstr	Hort Schulplatz 1	Schulplatz 1		ja
Eichenallee	alle							1303	Bornstedt - Am Krongut/Katharinenholzstr	Hort Schulplatz 1	Schulplatz 1		ja
GA Am Drachenberg	alle							1303	Bornstedt - Am Krongut/Katharinenholzstr	Hort Schulplatz 1	Schulplatz 1		ja
GA Am Lindstedter Tor	alle							1303	Bornstedt - Am Krongut/Katharinenholzstr	Hort Schulplatz 1	Schulplatz 1		ja
GA An der Amundsenstr	alle							1303	Bornstedt - Am Krongut/Katharinenholzstr	Hort Schulplatz 1	Schulplatz 1		ja
GA An der Katharinenholzstr	alle							1303	Bornstedt - Am Krongut/Katharinenholzstr	Hort Schulplatz 1	Schulplatz 1		ja
Grabenstr	alle							1303	Bornstedt - Am Krongut/Katharinenholzstr	Hort Schulplatz 1	Schulplatz 1		ja
Haeberlinweg	alle							1303	Bornstedt - Am Krongut/Katharinenholzstr	Hort Schulplatz 1	Schulplatz 1		ja
Katharinenholzstr	alle							1303	Bornstedt - Am Krongut/Katharinenholzstr	Hort Schulplatz 1	Schulplatz 1		ja
Lendelallee	alle							1303	Bornstedt - Am Krongut/Katharinenholzstr	Hort Schulplatz 1	Schulplatz 1		ja
Potsdamer Str	165			201			alle	1303	Bornstedt - Am Krongut/Katharinenholzstr	Hort Schulplatz 1	Schulplatz 1		ja
Ribbeckstr	alle							1303	Bornstedt - Am Krongut/Katharinenholzstr	Hort Schulplatz 1	Schulplatz 1		ja
Siegward-Sprotte-Str	alle							1303	Bornstedt - Am Krongut/Katharinenholzstr	Hort Schulplatz 1	Schulplatz 1		ja
Amtsstr	alle							1304	Bornstedt - Kirschallee/Thaerstr.	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Amundsenstr	2			26			G	1304	Bornstedt - Kirschallee/Thaerstr.	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Apfelweg	alle							1304	Bornstedt - Kirschallee/Thaerstr.	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Birnenweg	alle							1304	Bornstedt - Kirschallee/Thaerstr.	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Bussardweg	alle							1304	Bornstedt - Kirschallee/Thaerstr.	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Fritz-Encke-Str	2			6			G	1304	Bornstedt - Kirschallee/Thaerstr.	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
GA Bornstedter Feld	alle							1304	Bornstedt - Kirschallee/Thaerstr.	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
GA Habichtweg	alle							1304	Bornstedt - Kirschallee/Thaerstr.	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Habichtweg	1			12			alle	1304	Bornstedt - Kirschallee/Thaerstr.	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Hermann-Mächtig-Str	4			6			G	1304	Bornstedt - Kirschallee/Thaerstr.	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Herta-Hammerbacher-Str	2			6			alle	1304	Bornstedt - Kirschallee/Thaerstr.	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Kirschallee	33			139			alle	1304	Bornstedt - Kirschallee/Thaerstr.	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Melchior-Bauer-Str	2			5			alle	1304	Bornstedt - Kirschallee/Thaerstr.	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Nietnerstr	1			7			alle	1304	Bornstedt - Kirschallee/Thaerstr.	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Orville-Wright-Str	1			137			U	1304	Bornstedt - Kirschallee/Thaerstr.	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Potsdamer Str	12			34			alle	1304	Bornstedt - Kirschallee/Thaerstr.	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Thaerstr	alle							1304	Bornstedt - Kirschallee/Thaerstr.	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Zum Kurzen Feld	alle							1304	Bornstedt - Kirschallee/Thaerstr.	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Zum Lausebusch	alle							1304	Bornstedt - Kirschallee/Thaerstr.	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
Zum Reiherstand	alle							1304	Bornstedt - Kirschallee/Thaerstr.	Karl-Foerster-Schule (25/26)	Kirschallee 172		ja
August-Bonness-Str	9			17			U	1305	Bornstedt - Stechlinweg	Grundschule im Bornstedter Feld (3)	Jakob-von-Gundling-Str. 25		ja
Carl-Christian-Horvath-Str	4			14			G	1305	Bornstedt - Stechlinweg	Grundschule im Bornstedter Feld (3)	Jakob-von-Gundling-Str. 25		ja
Erich-Mendelsohn-Allee	4			12			G	1305	Bornstedt - Stechlinweg	Grundschule im Bornstedter Feld (3)	Jakob-von-Gundling-Str. 25		ja
Georg-Hermann-Allee	21			31			U	1305	Bornstedt - Stechlinweg	Grundschule im Bornstedter Feld (3)	Jakob-von-Gundling-Str. 25		ja
Hannes-Meyer-Str	alle							1305	Bornstedt - Stechlinweg	Grundschule im Bornstedter Feld (3)	Jakob-von-Gundling-Str. 25		ja
Kiepenheuerallee	11			27			U	1305	Bornstedt - Stechlinweg	Grundschule im Bornstedter Feld (3)	Jakob-von-Gundling-Str. 25		ja
Mies-van-der-Rohe-Str	alle							1305	Bornstedt - Stechlinweg	Grundschule im Bornstedter Feld (3)	Jakob-von-Gundling-Str. 25		ja
Peter-Behrens-Str	alle							1305	Bornstedt - Stechlinweg	Grundschule im Bornstedter Feld (3)	Jakob-von-Gundling-Str. 25		ja
Stechlinweg	alle							1305	Bornstedt - Stechlinweg	Grundschule im Bornstedter Feld (3)	Jakob-von-Gundling-Str. 25		ja
Erich-Mendelsohn-Allee	31			91			U	1306	Bornstedt - Hermann-Mattern-Promenade	Leonardo-da-Vinci-Gesamtschule (32)	Esplanade 3		ja
Fintelmannstr	1			17			U	1306	Bornstedt - Hermann-Mattern-Promenade	Leonardo-da-Vinci-Gesamtschule (32)	Esplanade 3		ja
Fintelmannstr	2			14			G	1306	Bornstedt - Hermann-Mattern-Promenade	Leonardo-da-Vinci-Gesamtschule (32)	Esplanade 3		ja
Fritz-Encke-Str	7						alle	1306	Bornstedt - Hermann-Mattern-Promenade	Leonardo-da-Vinci-Gesamtschule (32)	Esplanade 3		ja
Fritz-Encke-Str	8			22			G	1306	Bornstedt - Hermann-Mattern-Promenade	Leonardo-da-Vinci-Gesamtschule (32)	Esplanade 3		ja
Gustav-Meyer-Str	2						alle	1306	Bornstedt - Hermann-Mattern-Promenade	Leonardo-da-Vinci-Gesamtschule (32)	Esplanade 3		ja
Heinrich-Zeininger-Str	alle							1306	Bornstedt - Hermann-Mattern-Promenade	Leonardo-da-Vinci-Gesamtschule (32)	Esplanade 3		ja
Hermann-Göritz-Str	alle							1306	Bornstedt - Hermann-Mattern-Promenade	Leonardo-da-Vinci-Gesamtschule (32)	Esplanade 3		ja
Hermann-Mächtig-Str	10			28			G	1306	Bornstedt - Hermann-Mattern-Promenade	Leonardo-da-Vinci-Gesamtschule (32)	Esplanade 3		ja
Hermann-Mattern-Promenade	32			112			G	1306	Bornstedt - Hermann-Mattern-Promenade	Leonardo-da-Vinci-Gesamtschule (32)	Esplanade 3		ja
Hermann-Mattern-Promenade	61			119			U	1306	Bornstedt - Hermann-Mattern-Promenade	Leonardo-da-Vinci-Gesamtschule (32)	Esplanade 3		ja
Herta-Hammerbacher-Str	8			26			G	1306	Bornstedt - Hermann-Mattern-Promenade	Leonardo-da-Vinci-Gesamtschule (32)	Esplanade 3		ja
Herta-Hammerbacher-Str	13			27			U	1306	Bornstedt - Hermann-Mattern-Promenade	Leonardo-da-Vinci-Gesamtschule (32)	Esplanade 3		ja
Ludwig-Lesser-Str	alle							1306	Bornstedt - Hermann-Mattern-Promenade	Leonardo-da-Vinci-Gesamtschule (32)	Esplanade 3		ja
Luzernstr	1			9			U	1306	Bornstedt - Hermann-Mattern-Promenade	Leonardo-da-Vinci-Gesamtschule (32)	Esplanade 3		ja
Max-Wundel-Str	alle							1306	Bornstedt - Hermann-Mattern-Promenade	Leonardo-da-Vinci-Gesamtschule (32)	Esplanade 3		ja
Melchior-Bauer-Str	19			37			U	1306	Bornstedt - Hermann-Mattern-Promenade	Leonardo-da-Vinci-Gesamtschule (32)	Esplanade 3		ja
Orville-Wright-Str	44			98			G	1306	Bornstedt - Hermann-Mattern-Promenade	Leonardo-da-Vinci-Gesamtschule (32)	Esplanade 3		ja
Paul-Engelhard-Str	39			81	B		U	1306	Bornstedt - Hermann-Mattern-Promenade	Leonardo-da-Vinci-Gesamtschule (32)	Esplanade 3		ja
Paul-Engelhard-Str	44			80	A		G	1306	Bornstedt - Hermann-Mattern-Promenade	Leonardo-da-Vinci-Gesamtschule (32)	Esplanade 3		ja
Salzmannweg	alle							1306	Bornstedt - Hermann-Mattern-Promenade	Leonardo-da-Vinci-Gesamtschule (32)	Esplanade 3		ja
Theodor-Echtermeyer-Str	2			20			alle	1306	Bornstedt - Hermann-Mattern-Promenade	Leonardo-da-Vinci-Gesamtschule (32)	Esplanade 3		ja
Walter-Funcke-Str	alle							1306	Bornstedt - Hermann-Mattern-Promenade	Leonardo-da-Vinci-Gesamtschule (32)	Esplanade 3		ja
Am Schragen	alle							1307	Bornstedt - Jakob-von-Gundling-Str.	Fachhochschule Potsdam	Kiepenheuerallee 5, Hauptgebäude		ja
August-Bonness-Str	1			7			U	1307	Bornstedt - Jakob-von-Gundling-Str.	Fachhochschule Potsdam	Kiepenheuerallee 5, Hauptgebäude		ja
Bartholomäus-Neumann-Str	alle							1307	Bornstedt - Jakob-von-Gundling-Str.	Fachhochschule Potsdam	Kiepenheuerallee 5, Hauptgebäude		ja
Carl-Christian-Horvath-Str	1			13			U	1307	Bornstedt - Jakob-von-Gundling-Str.	Fachhochschule Potsdam	Kiepenheuerallee 5, Hauptgebäude		ja
Georg-Hermann-Allee	9			19			U	1307	Bornstedt - Jakob-von-Gundling-Str.	Fachhochschule Potsdam	Kiepenheuerallee 5, Hauptgebäude		ja
Jakob-von-Gundling-Str	alle							1307	Bornstedt - Jakob-von-Gundling-Str.	Fachhochschule Potsdam	Kiepenheuerallee 5, Hauptgebäude		ja
Johannes-Lepsius-Str	alle							1307	Bornstedt - Jakob-von-Gundling-Str.	Fachhochschule Potsdam	Kiepenheuerallee 5, Hauptgebäude		ja
Karen-Jeppe-Str	alle							1307	Bornstedt - Jakob-von-Gundling-Str.	Fachhochschule Potsdam	Kiepenheuerallee 5, Hauptgebäude		ja
Kiepenheuerallee	5						alle	1307	Bornstedt - Jakob-von-Gundling-Str.	Fachhochschule Potsdam	Kiepenheuerallee 5, Hauptgebäude		ja
Pappelallee	1			5			alle	1307	Bornstedt - Jakob-von-Gundling-Str.	Fachhochschule Potsdam	Kiepenheuerallee 5, Hauptgebäude		ja
Richard-Schäfer-Str	alle							1307	Bornstedt - Jakob-von-Gundling-Str.	Fachhochschule Potsdam	Kiepenheuerallee 5, Hauptgebäude		ja
Alexander-Klein-Str	alle							1308	Bornstedt - Reiherweg/David-Gilly-Str.	Grundschule im Bornstedter Feld (3)	Jakob-von-Gundling-Str. 25		ja
David-Gilly-Str	4						alle	1308	Bornstedt - Reiherweg/David-Gilly-Str.	Grundschule im Bornstedter Feld (3)	Jakob-von-Gundling-Str. 25		ja
Erich-Mendelsohn-Allee	1			29			U	1308	Bornstedt - Reiherweg/David-Gilly-Str.	Grundschule im Bornstedter Feld (3)	Jakob-von-Gundling-Str. 25		ja
Erwin-Barth-Str	alle							1308	Bornstedt - Reiherweg/David-Gilly-Str.	Grundschule im Bornstedter Feld (3)	Jakob-von-Gundling-Str. 25		ja
Hermann-Mattern-Promenade	1			39			U	1308	Bornstedt - Reiherweg/David-Gilly-Str.	Grundschule im Bornstedter Feld (3)	Jakob-von-Gundling-Str. 25		ja
