WahlbezirksNr	WahlbezirksName	WahlraumZeile1	WahlraumZeile2	WahlraumZeile3	Wahlraum barrierefrei	WahlbehˆrdeName	WahlbehˆrdeZeile1	WahlbehˆrdeZeile2	WahlbehˆrdeZeile3	Ortschaftsname	Wahleinteilung
6404	Waldstadt I - Bertolt-Brecht-Str.			Waldstadt-Grundschule (27)		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
6401	Waldstadt I - K‰the-Kollwitz-Str.			Schulen und Wohnheim mit		Bisamkiez 107-111,	barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
6402	Waldstadt I -Am Stadtrand/Industriegel.			Waldorfschule Potsdam e. V.			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
6505	Waldstadt II - Am Springbruch			Oberschule Theodor Fontane (51)		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
6502	Waldstadt II - Ginsterweg			Oberstufenzentrum II		Zum Jagenstein 26,	barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
6503	Waldstadt II - Kiefernring/Sonnentaustr.			Oberstufenzentrum II		Zum Jagenstein 26,	barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
6506	Waldstadt II - Liefelds Grund			Oberschule Theodor Fontane (51)		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
6507	Waldstadt II - Moosglˆckchenweg			Haus der Begegnung Potsdam			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
6504	Waldstadt II - Saarmunder Str.			Oberstufenzentrum II		Zum Jagenstein 26,	barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
6501	Waldstadt II - Zum Kahleberg			Oberstufenzentrum II		Zum Jagenstein 26,	barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
4202	Zentrum Ost - Hans-Marchwitza-Ring			Grundschule am Humboldtring (37)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
4204	Zentrum Ost - Humboldtring Ost/Wiesenstr			Gesamtschule Peter Joseph LennÈ (38)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
4201	Zentrum Ost - Humboldtring/Babelsb. Str.			Grundschule am Humboldtring (37)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
4203	Zentrum Ost - Lotte-Pulewka-Str.			Gesamtschule Peter Joseph LennÈ (38)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
