WahlbezirksNr	WahlbezirksName	WahlraumZeile1	WahlraumZeile2	WahlraumZeile3	Wahlraum barrierefrei	WahlbehˆrdeName	WahlbehˆrdeZeile1	WahlbehˆrdeZeile2	WahlbehˆrdeZeile3	Ortschaftsname	Wahleinteilung
4101	Innenstadt - Schopenhauerstr./J‰gerallee			Einstein-Gymnasium (54)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
4104	Innenstadt - Wall am Kiez/Luisenplatz			Voltaire-Gesamtschule (9)		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
4105	Innenstadt - Yorckstr.			Grundschule Max Dortu (8)		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
2201	J‰gervorstadt - Am Ruinenberg			Oberstufenzentrum I - Technik			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
2202	J‰gervorstadt - Am Weinberg/Ulanenweg			Oberstufenzentrum I - Technik			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
7301	Kirchsteigfeld - Eleonore-Prochaska-Str.			Friedr.-W.-v.-Steuben-Gesamtschule (46)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
7304	Kirchsteigfeld - Pierre-de-Gayette-Str.			Grundschule Im Kirchsteigfeld (56)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
7302	Kirchsteigfeld - Priesterweg			Friedr.-W.-v.-Steuben-Gesamtschule (46)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
7303	Kirchsteigfeld - Zum Teich/Schinkelstr.			Grundschule Im Kirchsteigfeld (56)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
8201	Marquardt			Kulturscheune Marquardt			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
2101	Nauener Vorstadt - Bertiniweg/Glumestr			Evangelische Grundschule			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
2102	Nauener Vorstadt - Neuer Garten			Treffpunkt Freizeit			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
2104	Nauener Vorstadt - Rote Kaserne/SAP			Leonardo-da-Vinci-Gesamtschule (32)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
2103	Nauener Vorstadt - Russische Kolonie			Kindertagesst‰tte Vielfalt		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
1301	Nedlitz, Bornstedt - Viereckremise	9032	Briefwahlbezirk 1101,1102,1301	Kindertagesst‰tte Firlefanz			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
8501	Neu Fahrland			B¸rgerhaus Neu Fahrland			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
3203	Potsdam West - An der Pirschheide			Hannah-Arendt-Gymnasium Potsdam-West (5)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
3201	Potsdam West - Geschwister-Scholl-Str.			Zeppelin-Grundschule (23)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
3202	Potsdam West - Haeckelstr.			Zeppelin-Grundschule (23)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
3205	Potsdam West - Im Bogen/Am Wildpark			Montessori-Oberschule (22)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
3204	Potsdam West - Knobelsdorffstr.			Hannah-Arendt-Gymnasium Potsdam-West (5)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
1401	Sacrow			Schloﬂ Sacrow Kastelanhaus		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
8301	Satzkorn			ehemaliges Gemeindeamt Satzkorn		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
6303	Schlaatz - Erlenhof			Gesamtschule Am Schilfhof (49)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
6304	Schlaatz - H.-Muthesius-Str./Binsenhof			Schule am Nuthetal (10/30)		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
