vote_district_id,vote_letter_id,wlk_eu,wlk_gm,address,name,full_address,barrier_free,note
10309,10373,1    ,04   ,Thürmchenswall 48,Fachhochschule Thürmchenswall,50668 Köln,J,
10310,10374,1    ,05   ,Hansaring 56,Hansa-Gymnasium,50670 Köln,J,Eingang Schulhof Vogteistr.
10311,10374,1    ,05   ,Hansaring 56,Hansa-Gymnasium,50670 Köln,J,Eingang Schulhof Vogteistr.
10312,10374,1    ,05   ,Hansaring 56,Hansa-Gymnasium,50670 Köln,J,Eingang Schulhof Vogteistr.
10313,10375,1    ,04   ,Unter Sachsenhausen 10-26,Industrie- u. Handelskammer,50667 Köln,J,
10314,10375,1    ,04   ,Unter Sachsenhausen 10-26,Industrie- u. Handelskammer,50667 Köln,J,Börsensaal
10401,10471,1    ,04   ,Antwerpener Str. 19,GGS Antwerpener Str.,50672 Köln,N,
10402,10471,1    ,04   ,Antwerpener Str. 19,GGS Antwerpener Str.,50672 Köln,N,
10403,10471,1    ,04   ,Antwerpener Str. 19,GGS Antwerpener Str.,50672 Köln,N,
10404,10472,1    ,04   ,Antwerpener Str. 19,GGS Antwerpener Str.,50672 Köln,N,
10405,10472,1    ,04   ,Antwerpener Str. 19,GGS Antwerpener Str.,50672 Köln,N,
10406,10472,1    ,04   ,Antwerpener Str. 19,GGS Antwerpener Str.,50672 Köln,N,
10407,10473,1    ,04   ,Antwerpener Str. 19,GGS Antwerpener Str.,50672 Köln,N,
10408,10472,1    ,04   ,Antwerpener Str. 19,GGS Antwerpener Str.,50672 Köln,N,
10409,10473,1    ,04   ,Gilbachstr. 20,Montessori-Grundschule,50672 Köln,N,
10410,10473,1    ,04   ,Gilbachstr. 20,Montessori-Grundschule,50672 Köln,N,
10411,10474,1    ,05   ,Hansaring 56,Hansa-Gymnasium,50670 Köln,J,Eingang Schulhof Vogteistr.
10412,10474,1    ,05   ,Bernhard-Letterhaus-Str. 17,Freie Schule Köln e. V.,50670 Köln,J,
10413,10475,1    ,05   ,Bernhard-Letterhaus-Str. 17,Freie Schule Köln e. V.,50670 Köln,J,
10414,10476,1    ,05   ,Bernhard-Letterhaus-Str. 17,Freie Schule Köln e. V.,50670 Köln,J,
10415,10476,1    ,05   ,Bernhard-Letterhaus-Str. 17,Freie Schule Köln e. V.,50670 Köln,J,
10416,10476,1    ,05   ,Melchiorstr. 3,Bürgerzentrum Alte Feuerwache e.V.,50670 Köln,J,
10417,10477,1    ,05   ,Blumenthalstr. 10-12,Schule Blumenthalstr,50670 Köln,N,
10418,10477,1    ,05   ,Blumenthalstr. 10-12,Schule Blumenthalstr,50670 Köln,N,
10419,10477,1    ,05   ,Blumenthalstr. 10-12,Schule Blumenthalstr,50670 Köln,N,
10420,10478,1    ,05   ,Balthasarstr. 87,GGS Balthasarstr.,50670 Köln,N,
10421,10478,1    ,05   ,Balthasarstr. 87,GGS Balthasarstr.,50670 Köln,N,
10422,10478,1    ,05   ,Balthasarstr. 87,GGS Balthasarstr.,50670 Köln,N,
10423,10479,1    ,05   ,Balthasarstr. 87,GGS Balthasarstr.,50670 Köln,N,
10424,10479,1    ,05   ,Riehler Platz 2,Oberfinanzdirektion Rheinland,50668 Köln,J,Eingangshalle-Hochhaus
10425,10479,1    ,05   ,Riehler Platz 2,Oberfinanzdirektion Rheinland,50668 Köln,J,Eingangshalle-Hochhaus
10501,10571,1    ,06   ,Mindener Str. 2,Rheinische RVK,50679 Köln,J,Rheinlandhaus
10502,10571,1    ,06   ,Mindener Str. 2,Rheinische RVK,50679 Köln,J,Rheinlandhaus
10503,10571,1    ,06   ,Tempelstraße 41-43,Bürgerzentrum Deutz,50679 Köln,J,
10504,10571,1    ,06   ,Tempelstraße 41-43,Bürgerzentrum Deutz,50679 Köln,J,
10505,10572,1    ,06   ,Eumeniusstr. 4,Berufskolleg Deutzer Freiheit,50679 Köln,J,
10506,10572,1    ,06   ,Eumeniusstr. 4,Berufskolleg Deutzer Freiheit,50679 Köln,J,
10507,10572,1    ,06   ,Eitorfer Str. 16,Nicolaus-August-Otto-Schule,50679 Köln,N,
10508,10572,1    ,06   ,Thusneldastr. 15-17,Gymnasium Thusneldastr.,50679 Köln,J,
10509,10572,1    ,06   ,Thusneldastr. 15-17,Gymnasium Thusneldastr.,50679 Köln,J,
10510,10573,1    ,06   ,Tempelstraße 41-43,Bürgerzentrum Deutz,50679 Köln,J,
10511,10573,1    ,06   ,Tempelstraße 41-43,Bürgerzentrum Deutz,50679 Köln,J,
10512,10573,1    ,06   ,Im Hasental 41,Realschule Im Hasental,50679 Köln,N,
10513,10573,1    ,06   ,Im Hasental 41,Realschule Im Hasental,50679 Köln,N,
20101,20171,1    ,12   ,Cäsarstr. 50,Maria-Sybilla-Merian-Schule,50968 Köln,J,
20102,20171,1    ,12   ,Cäsarstr. 50,Maria-Sybilla-Merian-Schule,50968 Köln,J,
20103,20171,1    ,12   ,Cäsarstr. 50,Maria-Sybilla-Merian-Schule,50968 Köln,J,
20104,20171,1    ,12   ,Cäsarstr. 50,Maria-Sybilla-Merian-Schule,50968 Köln,J,
20105,20172,1    ,12   ,Cäsarstr. 50,Maria-Sybilla-Merian-Schule,50968 Köln,J,
20106,20172,1    ,12   ,Cäsarstr. 50,Maria-Sybilla-Merian-Schule,50968 Köln,J,
20107,20172,1    ,12   ,Cäsarstr. 50,Maria-Sybilla-Merian-Schule,50968 Köln,J,
20108,20172,1    ,12   ,Cäsarstr. 50,Maria-Sybilla-Merian-Schule,50968 Köln,J,
20201,20271,1    ,12   ,Mehlemer Str. 27,Martin-Luther-Haus,50968 Köln,N,
20202,20271,1    ,12   ,Mehlemer Str. 27,Martin-Luther-Haus,50968 Köln,N,
20203,20272,1    ,12   ,Goethestr. 84,Pfarrheim St. Maria-Königin,50968 Köln,J,Eingang Leyboldstr.
20204,20272,1    ,12   ,Goethestr. 84,Pfarrheim St. Maria-Königin,50968 Köln,J,Eingang Leyboldstr.
20301,20371,1    ,13   ,Annastr. 63,GGS Annastr.,50968 Köln,N,
20302,20371,1    ,13   ,Annastr. 63,GGS Annastr.,50968 Köln,N,
20303,20371,1    ,13   ,Annastr. 63,GGS Annastr.,50968 Köln,N,
20401,20471,1    ,12   ,Raderthalgürtel 3,Europaschule Köln,50968 Köln,J,
20402,20471,1    ,12   ,Raderthalgürtel 3,Europaschule Köln,50968 Köln,J,
20403,20471,1    ,12   ,Raderthalgürtel 3,Europaschule Köln,50968 Köln,J,
20404,20471,1    ,12   ,Raderthalgürtel 3,Europaschule Köln,50968 Köln,J,
20501,20571,1    ,13   ,Rosenzweigweg 3,GGS Rosenzweigweg,50969 Köln,J,
20502,20571,1    ,13   ,Rosenzweigweg 3,GGS Rosenzweigweg,50969 Köln,J,
20503,20571,1    ,13   ,Rosenzweigweg 3,GGS Rosenzweigweg,50969 Köln,J,
20504,20571,1    ,13   ,Rosenzweigweg 3,GGS Rosenzweigweg,50969 Köln,J,
20505,20572,1    ,13   ,Irmgardstr. 13,Pfarrheim St. Pius,50969 Köln,J,
20506,20572,1    ,13   ,Irmgardstr. 13,Pfarrheim St. Pius,50969 Köln,J,
