zip;;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
50676;;Agrippastr.;1;17;6;16;Altstadt/SÃ¼d;10120;13;;
50676;;Agrippastr.;37;85;;;Altstadt/SÃ¼d;10119;13;;
50678;;Agrippinaufer;;;2;10;Neustadt/SÃ¼d	;10202;13;;
50678;;Agrippinawerft;;;6;24;Neustadt/SÃ¼d	;10202;13;;
50765;;Ahornstr.;1;55;2;30;Esch/Auweiler;60701;16;;
50827;;Ahornweg;1;27;4;10;Bickendorf;40310;15;;
51147;;Ahornweg(Grengel);1;63;2;74;Grengel;70902;17;;
50859;;Ahornweg(Widdersdorf);1;13;4;14;Widdersdorf;30905;14;;
50999;;Ahornweg(SÃ¼rth);7;15;2;20;SÃ¼rth;21007;13;;
50859;;Ahrstr.(LÃ¶venich);1;21;;;LÃ¶venich;30806;14;;
50859;;Ahrstr.(LÃ¶venich);23;37;2;56a;LÃ¶venich;30805;14;;
50996;;Ahrstr.(Rodenkirchen);1;13;;;Rodenkirchen;20810;13;;
51061;;Ahrweg;1;19;2;12;HÃ¶henhaus;90602;19;;
50968;;Ahrweilerstr.;1;3;2;12;Marienburg;20204;13;;
50765;;Akazienstr.;1;73;2a;60;Esch/Auweiler;60701;16;;
50827;;Akazienweg;1;91;2;30;Bickendorf;40305;15;;
50827;;Akazienweg;;;32;54b;Bickendorf;40303;15;;
50827;;Akazienweg;;;56a;56b;Bickendorf;40303;15;;
50827;;Akazienweg;;;56;;Bickendorf;40304;15;;
50827;;Akazienweg;;;58;82;Bickendorf;40304;15;;
50827;;Akazienweg;93;157;;;Bickendorf;40303;15;;
50827;;Akazienweg;159;159g;;;Bickendorf;40304;15;;
50829;;Akazienweg;165;201;;;Vogelsang;40404;15;;
51147;;Akazienweg(Grengel);1;15a;2;30;Grengel;70902;17;;
51147;;Akazienweg(Grengel);17;31;;;Grengel;70903;17;;
51147;;Akazienweg(Grengel);33;71;;;Grengel;70901;17;;
51147;;Akazienweg(Grengel);;;38;56;Grengel;70903;17;;
51147;;Akazienweg(Grengel);;;58;82;Grengel;70901;17;;
50859;;Akazienweg(Widdersdorf);5;;2;20;Widdersdorf;30905;14;;
50999;;Akazienweg(SÃ¼rth);1;23;2;22;SÃ¼rth;21007;13;;
50769;;Akeleiweg;1;3;2;;Seeberg;60302;16;;
50858;;Akeleiweg(Junkersdorf);3;21;2;22;Junkersdorf;30604;14;;
50997;;Aladinstr.;;;2;18;Rondorf;20607;13;;
50679;;Alarichstr.;1;89;4;56;Deutz;10505;18;;
50829;;Alban-Berg-Weg;1;19;;;BocklemÃ¼nd/Mengenich;40504;15;;
50739;;Alberichhof;1;5;2;6;Mauenheim;50201;16;;
51147;;Alberichshof;1;5;2;6;Wahnheide;71007;17;;
51103;;Albermannstr.;1;21;2;48;Kalk;80202;18;;
51103;;Albermannstr.;39;51;50;60;Kalk;80203;18;;
50859;;Albert-Kindle-Str.;1;25;2;36;Weiden;30707;14;;
50968;;Albert-Schweitzer-Str.;1;5;2;;Raderthal;20403;13;;
51147;;Albert-Schweitzer-Str.(Wahn);1;;6;8;Wahn;71103;17;;
51143;;Albert-Tobias-Weg;1;13;2;16;ZÃ¼ndorf;71403;17;;
50931;;Albertus-Magnus-Platz;;;0;;Lindenthal;30304;14;;
50667;;Albertusstr.;1;55;4;52;Altstadt/Nord;10303;18;;
50999;;Albertusweg;1;19;4;20;WeiÃŸ;20905;13;;
50859;;Albin-HÃ¤nseroth-Weg;1;83;2;96;Widdersdorf;30901;14;;
51147;;Albin-KÃ¶bis-Str.;9;;2;14;Wahn;71102;17;;
50672;;Albrecht-DÃ¼rer-Platz;15;;;;Neustadt/Nord;10405;18;;
50999;;Albrecht-DÃ¼rer-Str.;3;9;4;10;Rodenkirchen;20813;13;;
51069;;Albusweg;1;23;;;DÃ¼nnwald;90706;19;;
50679;;Alemannenstr.;1;23;2;26;Deutz;10508;18;;
51149;;Alemannenstr.(Gremberghoven);7;9;10;12;Gremberghoven;70401;17;;
50996;;Alemannenstr.(Rodenkirchen);1;7;2;10;Rodenkirchen;20803;13;;
50739;;Alexander-PetÃ¶fi-Platz;;;2;16;Longerich;50613;16;;
50769;;Alexander-von-Wacker-Platz;1;5;2;14;Merkenich;60105;16;;
50739;;Alexe-Altenkirch-Str.;3;;;;BilderstÃ¶ckchen;50701;15;;
50676;;Alexianerstr.;1;5;;;Altstadt/SÃ¼d;10118;13;;
50676;;Alexianerstr.;;;2;20;Altstadt/SÃ¼d;10119;13;;
50676;;Alexianerstr.;23;43;;;Altstadt/SÃ¼d;10116;13;;
50676;;Alexianerstr.;;;30;48;Altstadt/SÃ¼d;10117;13;;
51143;;Alfons-Kafka-Str.;3;13;2;30;ZÃ¼ndorf;71401;17;;
50858;;Alfons-Nowak-Str.;1;5;;;Junkersdorf;30605;14;;
51149;;Alfred-Delp-Str.;1;23;2;14;Ensen;70302;17;;
50829;;Alfred-DÃ¶blin-Str.;1;9;;;BocklemÃ¼nd/Mengenich;40507;15;;
51145;;Alfred-Nobel-Str.;1;49;2;34;Porz;70602;17;;
51145;;Alfred-Nobel-Str.;53;57;;;Porz;70603;17;;
50679;;Alfred-SchÃ¼tte-Allee;1;;2;20;Deutz;10512;18;;
51105;;Alfred-SchÃ¼tte-Allee;;;30;180;Poll;70106;17;;
51105;;Alfred-SchÃ¼tte-Allee;51;165;;;Poll;70105;17;;
51061;;Alfred-Werner-Str.;1;23;2;4;Flittard;90904;19;;
50969;;Alfterstr.;1;23;2;22;Zollstock;20516;13;;
50735;;Allensteiner Str.;5;;;;Niehl;50411;16;;
50997;;Allensteiner Str.(Rondorf);9;13;2;12;Rondorf;20602;13;;
50668;;Allerheiligenstr.;1;27;2;18;Altstadt/Nord;10307;18;;
51105;;Allerseelenstr.;1;23;2;42a;Poll;70101;17;;
50765;;Allerstr.;;;2;24;Chorweiler;60905;16;;
51109;;Aloeweg;1;105;8;100;Merheim;80605;17;;
50825;;Alpenerplatz;1;7;2;6;Ehrenfeld;40124;15;;
