zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
50126;Amselweg;1;3;2;2;Kenten;06.1;;;91
50129;An de Krokpaasch;3;3;10;10;Niederaußem;13.2;;;91
50129;An den Dreißig Morgen;1;11;2;30;Fliesteden;16.2;;;91
50126;An den Ellern;1;13;2;18;Paffendorf;03.2;;;91
50127;An den Erken;1;33;6;32;Kenten;07.2;;;91
50126;An den Platanen;1;13;2;14;Paffendorf;03.2;;;91
50127;An den Quellen;1;19;2;22;Ahe;01.1;;;91
50129;An den Wiesen;1;23;2;16;Rheidt-Hüchelhoven;15.2;;;91
50129;An der Abtsmühle;3;27;4;10;Glessen;17.2;;;91
50129;An der Alten Schmiede;3;29;;;Glessen;17.2;;;91
50129;An der Bahn;;;6;30;Oberaußem;11.2;;;91
50129;An der Brennerei;;;6;14;Glessen;17.1;;;91
50126;An der Broelhecke;1;13;2;16;Zieverich;04.1;;;91
50129;An der Broicheiche;1;1;2;2;Glessen;18.1;;;91
50129;An der Buchenhecke;1;25;2;8;Oberaußem;12.2;;;91
50129;An der Burg;3;15;2;12;Fliesteden;16.2;;;91
50127;An der Erft;5;5;2;2;Ahe;01.1;;;91
50126;An der Erftaue;1;17;2;14;Bergheim;09.1;;;91
50126;An der Erfttalstraße;;;0;0;Zieverich;04.2;;;91
50129;An der Fronbrücke;1;15;2;10;Rheidt-Hüchelhoven;15.1;;;91
50129;An der Fuchshecke;1;7;4;6;Fliesteden;16.2;;;91
50129;An der Hecke;1;13;2;12;Oberaußem;12.2;;;91
50129;An der Höferstraße;1;3;;;Rheidt-Hüchelhoven;15.2;;;91
50129;An der Jussenhöhle;1;25;2;26;Oberaußem;12.1;;;91
50126;An der Kentener Burg;1;9;2;10;Kenten;07.2;;;91
50129;An der Kirche;3;3;2;10;Glessen;17.2;;;91
50129;An der Kläranlage;;;0;0;Auenheim;15.3;;;91
50129;An der Kriegskaule;;;0;0;Glessen;18.2;;;91
50127;An der Marienburg;1;61;2;60;Quadrath-Ichendorf;20.2;;;91
50129;An der Pfarrkirche;5;5;2;16;Fliesteden;16.2;;;91
50129;An der Ronne;21;23;;;Büsdorf;16.1;;;91
50126;An der Stadtmauer;5;5;;;Bergheim;09.1;;;91
50129;An der Weide;17;21;2;26;Fliesteden;16.2;;;91
50129;An der Windmühle;1;17;2;30;Oberaußem;12.2;;;91
50126;An der Üleburg;1;15;2;8;Bergheim;10.2;;;91
50127;Andersenstraße;7;17;4;6;Quadrath-Ichendorf;22.2;;;91
50126;Angelsdorfer Weg;1;19;2;6;Zieverich;04.1;;;91
50127;Annoweg;;;2;26;Quadrath-Ichendorf;23.1;;;91
50127;Anton-Will-Straße;3;11;4;12;Thorr;02.2;;;91
50126;Antoniushof;;;0;0;Paffendorf;03.2;;;91
50126;Antoniusstraße;;;4;24;Paffendorf;03.2;;;91
50129;Apfelmarkt;;;2;4;Büsdorf;16.1;;;91
50127;Aralienweg;1;3;;;Quadrath-Ichendorf;23.2;;;91
50129;Arnikaweg;1;47;4;38;Niederaußem;14.2;;;91
50127;Arratosstraße;1;9;2;2;Quadrath-Ichendorf;23.1;;;91
50129;Arthur-Rudolf-Straße;5;7;4;28;Büsdorf;16.1;;;91
50127;Aschenputtelweg;3;5;2;6;Quadrath-Ichendorf;23.1;;;91
50129;Asperschlagstraße;3;9;2;10;Niederaußem;13.1;;;91
50129;Asperschlagstraße;11;101;26;76;Niederaußem;14.1;;;91
50127;Asternweg;3;15;2;8;Ahe;01.1;;;91
50129;Auenheimer Straße;3;5;2;30;Niederaußem;13.1;;;91
